image,target_floor,predicted_floor,target_found,correct
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc.jpg,4,4,true,true
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6.jpg,4,4,true,true
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2.jpg,B1,B1,true,true
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938.jpg,B1,3,false,false
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1.jpg,9,9,true,true
12_mp4-0024_jpg.rf.1400d14620125fcc5574fe45890d5fac.jpg,29,29,true,true
13_mp4-0028_jpg.rf.1a7d9e113fb0053487216f9c612de369.jpg,B1,2,false,false
16_mp4-0002_jpg.rf.c3906d1ff6b88f9e42b386b3d3ad5797.jpg,8,8,true,true
17_mp4-0000_jpg.rf.217d3749c0535eeee776a4370b9a3238.jpg,6,6,true,true
19_mp4-0005_jpg.rf.948ce29c5a84d15e7fdd11d8f24cbcef.jpg,B1,8,false,false
1_mp4-0008_jpg.rf.3277cb0a7f1e54208142fc8bc50096a7.jpg,B1,B1,true,true
3_mp4-0004_jpg.rf.c76f4739143aad284f99d092d16277bd.jpg,7,6,false,false
3_mp4-0018_jpg.rf.4304b6f2f0c8b8d56f931e3771b5d32a.jpg,9,9,true,true
3_mp4-0027_jpg.rf.fc64f145d45e93bea6eb330bb32a8673.jpg,B1,B1,true,true
4_mp4-0004_jpg.rf.6c9fddcf51a79a832a03f7f25ceb718c.jpg,8,17,false,false
4_mp4-0008_jpg.rf.d062a6ab0539bb9a8224a14cd0725e05.jpg,7,15,false,false
6_mp4-0008_jpg.rf.21c83959871866e9f07b07957fd1d33a.jpg,8,2,false,false
