image,det_idx,yolo_conf,box,gt_class,raw_ocr,norm_ocr,ocr_conf,orientation,pp_variant,exact_match,is_floor,is_icon,iou
10_mp4-0004_jpg.rf.0c83a5a4245f252e7cbd1afdcabb7b68,0,0.9198,"387,35,577,175",11,11,11,0.9999,original,otsu,True,True,False,0.9808
10_mp4-0004_jpg.rf.0c83a5a4245f252e7cbd1afdcabb7b68,1,0.9037,"372,241,557,362",5,5,5,1.0,original,gray,True,True,False,0.8759
10_mp4-0004_jpg.rf.0c83a5a4245f252e7cbd1afdcabb7b68,2,0.8936,"372,422,540,524",1,1,1,0.7701,original,gray,True,True,False,0.9393
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,0,0.9044,"190,178,369,289",9,9,9,1.0,original,gray,True,True,False,0.884
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,1,0.9029,"501,0,640,114",14,14,14,1.0,original,gray,True,True,False,0.7753
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,2,0.8968,"202,502,357,592",B2,B2,B2,0.9993,original,otsu,True,True,False,0.9518
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,3,0.8919,"478,343,627,439",4,4,4,1.0,original,gray,True,True,False,0.946
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,4,0.8915,"186,0,373,109",13,13,13,1.0,original,gray,True,True,False,0.8696
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,5,0.8877,"466,488,611,574",B1,ra,RA,0.987,flipped,gray,False,True,False,0.8892
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,6,0.8853,"196,347,360,449",3,3,3,1.0,original,gray,True,True,False,0.9689
10_mp4-0011_jpg.rf.9174fb0023d67002761a4a000016f6c9,7,0.88,"490,178,640,285",10,10,10,1.0,original,gray,True,True,False,0.9414
10_mp4-0014_jpg.rf.69a5bdc88858a2b615d45016343b6e8d,0,0.9181,"217,0,402,126",14,14,14,1.0,flipped,gray,True,True,False,0.9272
10_mp4-0014_jpg.rf.69a5bdc88858a2b615d45016343b6e8d,1,0.9028,"231,193,403,306",10,10,10,1.0,flipped,otsu,True,True,False,0.9306
10_mp4-0014_jpg.rf.69a5bdc88858a2b615d45016343b6e8d,2,0.8968,"240,364,400,465",4,4,4,0.9999,flipped,clahe,True,True,False,0.9359
10_mp4-0014_jpg.rf.69a5bdc88858a2b615d45016343b6e8d,3,0.887,"244,520,397,611",B1,ra,RA,0.9947,original,gray,False,True,False,0.917
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,0,0.9071,"96,181,264,292",12,12,12,1.0,original,gray,True,True,False,0.9376
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,1,0.8988,"92,12,264,131",13,13,13,1.0,original,gray,True,True,False,0.9495
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,2,0.8937,"107,485,264,585",10,10,10,1.0,original,gray,True,True,False,0.9431
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,3,0.8898,"352,491,512,593",1,1,1,0.7068,original,gray,True,True,False,0.8909
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,4,0.8886,"355,342,521,447",2,2,2,1.0,original,clahe,True,True,False,0.9182
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,5,0.8856,"362,10,536,130",4,4,4,1.0,original,gray,True,True,False,0.9528
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,6,0.8811,"102,338,263,441",11,11,11,1.0,original,clahe,True,True,False,0.9482
11_mp4-0004_jpg.rf.3ea3e62bab3511acaf203a8c3b6c04dc,7,0.8706,"358,182,528,295",3,3,3,1.0,original,gray,True,True,False,0.9599
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,0,0.9072,"96,181,264,292",12,12,12,1.0,original,gray,True,True,False,0.9376
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,1,0.8987,"92,12,264,131",13,13,13,1.0,original,gray,True,True,False,0.9495
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,2,0.8952,"107,485,264,585",10,10,10,1.0,original,otsu,True,True,False,0.9431
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,3,0.8897,"352,491,513,593",1,1,1,0.6805,original,gray,True,True,False,0.8857
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,4,0.8892,"355,342,521,447",2,2,2,1.0,original,clahe,True,True,False,0.9182
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,5,0.8863,"362,10,536,130",4,4,4,1.0,original,gray,True,True,False,0.9528
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,6,0.8816,"102,338,263,441",11,11,11,1.0,original,clahe,True,True,False,0.9482
11_mp4-0004_jpg.rf.b8870e7d5bdd88dcc168521279fe9ca6,7,0.8721,"358,182,528,295",3,3,3,1.0,original,gray,True,True,False,0.9599
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,0,0.8957,"241,372,355,438",B1,ra,RA,0.9969,original,otsu,False,True,False,0.8502
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,1,0.8942,"405,486,526,560",7,7,7,0.8044,flipped,gray,True,True,False,0.9785
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,2,0.8877,"233,475,350,549",B2,B2,B2,0.9996,flipped,gray,True,True,False,0.9118
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,3,0.8854,"422,96,530,155",12,12,12,1.0,flipped,gray,True,True,False,0.9026
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,4,0.8824,"259,179,366,241",2,2,2,1.0,flipped,gray,True,True,False,0.9195
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,5,0.8822,"251,272,361,336",1,,,0.0,original,gray,False,True,False,0.8644
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,6,0.8819,"265,88,370,147",3,3,3,1.0,flipped,gray,True,True,False,0.9159
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,7,0.8776,"427,8,531,66",13,13,13,1.0,flipped,otsu,True,True,False,0.9482
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,8,0.8754,"272,0,375,58",4,4,4,0.9969,flipped,gray,True,True,False,0.7738
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,9,0.8736,"413,283,528,347",10,10,10,0.9999,flipped,otsu,True,True,False,0.9059
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,10,0.8717,"410,383,527,451",9,9,9,1.0,flipped,clahe,True,True,False,0.8906
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,11,0.8675,"418,188,529,249",11,11,11,0.9999,flipped,gray,True,True,False,0.8525
11_mp4-0014_jpg.rf.a6c4e57237598b85f900c880dfe05264,12,0.8163,"224,585,344,640",B3,R3,R3,0.8647,flipped,clahe,False,True,False,0.9381
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,0,0.9005,"283,398,387,460",B1,B1,B1,0.9888,original,otsu,True,True,False,0.9075
