epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.924,1.17321,1.10646,1.10149,0.95205,0.96722,0.98063,0.67355,1.15665,1.1192,1.0568,0.000660819,0.000660819,0.000660819
2,495.181,1.15434,0.73675,1.10834,0.95116,0.97378,0.9788,0.641,1.19076,0.71602,1.12931,0.00128368,0.00128368,0.00128368
3,732.47,1.15421,0.70076,1.11254,0.97873,0.98462,0.99298,0.69837,1.11781,0.60427,1.0906,0.00186254,0.00186254,0.00186254
4,968.53,1.13762,0.67223,1.10215,0.97127,0.98462,0.98962,0.69502,1.12477,0.59473,1.09934,0.001802,0.001802,0.001802
5,1208.55,1.10986,0.61421,1.10347,0.98211,0.98506,0.99403,0.66654,1.15456,0.53484,1.13502,0.001736,0.001736,0.001736
6,1474.93,1.1355,0.59217,1.10933,0.98217,0.98892,0.99342,0.70658,1.11756,0.49657,1.11817,0.00167,0.00167,0.00167
7,1730.35,1.09117,0.55507,1.10405,0.97448,0.98333,0.99289,0.69436,1.10623,0.48735,1.11105,0.001604,0.001604,0.001604
8,1983.67,1.08376,0.54465,1.09933,0.97256,0.99744,0.993,0.70683,1.08828,0.48693,1.09968,0.001538,0.001538,0.001538
9,2226.67,1.07065,0.52263,1.08363,0.97985,0.99736,0.99185,0.70988,1.11444,0.45896,1.1068,0.001472,0.001472,0.001472
10,2470.1,1.06268,0.51668,1.09312,0.97968,0.99872,0.99296,0.71664,1.08274,0.43585,1.09765,0.001406,0.001406,0.001406
11,2708.44,1.06028,0.50005,1.08633,0.97975,0.99872,0.99034,0.71583,1.0744,0.43799,1.09903,0.00134,0.00134,0.00134
12,2952.72,1.04802,0.4993,1.08226,0.98123,0.99487,0.99103,0.70736,1.06251,0.42084,1.09159,0.001274,0.001274,0.001274
13,3188.78,1.04502,0.47916,1.08073,0.98238,0.99744,0.99318,0.72765,1.05211,0.39498,1.0848,0.001208,0.001208,0.001208
14,3431.42,1.04228,0.48011,1.07256,0.98722,0.99067,0.99197,0.72447,1.04806,0.38318,1.07924,0.001142,0.001142,0.001142
15,3669.06,1.0305,0.46434,1.07108,0.98169,0.99487,0.99205,0.72408,1.03814,0.39809,1.07967,0.001076,0.001076,0.001076
16,3932.61,1.03241,0.46844,1.0821,0.98632,0.99615,0.99332,0.7297,1.03642,0.39054,1.07678,0.00101,0.00101,0.00101
17,4201.15,1.02564,0.4622,1.0692,0.98849,0.99119,0.9935,0.72407,1.0515,0.39347,1.08101,0.000944,0.000944,0.000944
18,4471.57,1.02604,0.45818,1.07479,0.98231,0.99659,0.99339,0.73561,1.0518,0.38206,1.0817,0.000878,0.000878,0.000878
19,4743.85,1.01265,0.45351,1.0643,0.98998,0.98846,0.9936,0.73359,1.03243,0.37031,1.07725,0.000812,0.000812,0.000812
20,5017.21,0.99806,0.44091,1.06146,0.9859,0.99487,0.99244,0.73166,1.06923,0.37869,1.08226,0.000746,0.000746,0.000746
21,5297.66,0.9735,0.40867,1.07658,0.9863,0.99231,0.99411,0.72414,1.03765,0.37499,1.07812,0.00068,0.00068,0.00068
22,5562.66,0.97726,0.40735,1.07939,0.99076,0.99744,0.99358,0.73655,1.027,0.35958,1.07179,0.000614,0.000614,0.000614
23,5799.04,0.96565,0.39359,1.07304,0.98854,0.995,0.99393,0.73583,1.01564,0.3645,1.06714,0.000548,0.000548,0.000548
24,6081.46,0.95742,0.38734,1.06302,0.99021,0.99615,0.99268,0.7353,1.00872,0.3553,1.06484,0.000482,0.000482,0.000482
25,6345.59,0.94606,0.38428,1.06622,0.99223,0.99615,0.99356,0.74144,0.99785,0.35033,1.06106,0.000416,0.000416,0.000416
26,6604.78,0.93385,0.37684,1.06304,0.99485,0.9908,0.99294,0.73381,1.00429,0.34409,1.06522,0.00035,0.00035,0.00035
27,6860.77,0.92847,0.37362,1.05702,0.99165,0.99744,0.99318,0.74023,0.98962,0.33662,1.05358,0.000284,0.000284,0.000284
28,7109.54,0.91356,0.36353,1.05794,0.98706,1,0.99356,0.74272,0.98251,0.3364,1.05277,0.000218,0.000218,0.000218
29,7347.73,0.91024,0.35647,1.05297,0.98855,0.99638,0.99232,0.75086,0.97272,0.32637,1.04772,0.000152,0.000152,0.000152
30,7585.01,0.89719,0.34999,1.05013,0.99125,0.99359,0.99326,0.7538,0.97137,0.32134,1.04609,8.6e-05,8.6e-05,8.6e-05
